|        in        |       out        |
| 0000000000000000 | 1111111111111111 |
| 0000000000000001 | 0000000000000000 |
| 0000000000000010 | 0000000000000001 |
| 0000000000000011 | 0000000000000010 |
| 0000000000000100 | 0000000000000011 |
| 0000000000000101 | 0000000000000100 |
| 0000000000000110 | 0000000000000101 |
| 0000000000000111 | 0000000000000110 |
| 1111111111111111 | 1111111111111110 |
| 1111111111111110 | 1111111111111101 |
| 1111111111111101 | 1111111111111100 |
| 1111111111111100 | 1111111111111011 |
| 1111111111111011 | 1111111111111010 |
| 1111111111111010 | 1111111111111001 |
| 1111111111111001 | 1111111111111000 |
